影院名称,影院专资,所属城市
橙天嘉禾影城（无锡茂业店）,32032901,无锡
橙天嘉禾影城（无锡新之城店）,32033101,无锡
橙天嘉禾影城（无锡万象城店）,32035911,无锡
万达影城（滨湖IMAX激光店）,32032701,无锡
CGV影城(宜兴八佰伴ScreenX店),32037111,无锡
红星电影世界宜兴大统华城北店（原上影）,32036711,无锡
厦门中华电影院,35023961,厦门
厦门华彩中兴影院,35022901,厦门
金逸影城（光美五缘湾MX4D店）,35023101,厦门
中影梦工坊（加州杜比·激光·尊荣影城）,35021502,厦门
完美世界影城（厦门集美店）,35022801,厦门
中影梦工坊（同安DMAX巨幕影城）,35023971,厦门
万达影城（集美万达广场IMAX店）,35023001,厦门
万达影城（SM广场IMAX+杜比影院店）,35021401,厦门
厦门思明电影院,35020101,厦门
金逸影城（海沧新阳店）,35022601,厦门
金逸影城厦门名汇全激光店,35021302,厦门
金逸影城（旺角大学城店）,35023881,厦门
厦门中影国际影城（翔安汇景店）,35022401,厦门
万达影城（湖里万达广场激光IMAX店）,35022301,厦门
金逸影城厦门文艺店,35021602,厦门
金逸影城厦门明发店,35021202,厦门
金逸影城厦门明发IMAX店,35022701,厦门
同安影剧院,35021702,厦门
MGF梦工坊影城（蔡塘尊荣店）,35023931,厦门
梦露歌剧院影城,35022501,厦门
完美世界影城（中华城4K杜比全景声店）,35021802,厦门
大地影院（湘隆店）,42170601,武汉
武汉泛海影城（范湖万达广场店）,42017501,武汉
长江银兴影城（武商世贸广场店）,42010101,武汉
湖北剧院银兴电影城,42010301,武汉
中南剧场1001天河影院,42017401,武汉
悦影绘高德影城（江夏中百店）,42018401,武汉
武商摩尔影城（国广IMAX激光店）,42011701,武汉
城市广场摩尔国际电影城（后湖店）,42017601,武汉
武商众圆摩尔国际电影城（武商MALL·众圆店）,42014901,武汉
金逸影城（光美荟聚IMAX店）,42018901,武汉
CGV影城（光谷IMAX店）,42017701,武汉
万达影城（东西湖中心广场XLAND店）,42017901,武汉
万达影城（武汉春树里广场店）,42171101,武汉
华夏国际影城（中商世界里）原鲁广,42172801,武汉
万达影城（武汉长青广场店）,42018501,武汉
武汉UA新民众乐园电影城,42015101,武汉
武汉光谷正华银兴影城,42011301,武汉
银兴国际影城（万松园西园店）,42011601,武汉
华夏影城百步亭店（杜比全景声）,42017101,武汉
汉阳天河影城,42016201,武汉
万达影城（江夏MALL-XLAND店）,42018801,武汉
洪山礼堂银兴电影城,42010802,武汉
洪山影剧院（乐天城激光店）,42015601,武汉
东澜岸天河影城,42019501,武汉
锦绣龙城华幕影城,42011501,武汉
武汉中影国际影城（东购店）,42011401,武汉
幸福蓝海(武汉雄楚店),42018701,武汉
武汉亚贸兴汇影城,42010901,武汉
大地影院（武汉江夏宜佳店）,42172301,武汉
华谊兄弟影院(光谷IMAX店),42171701,武汉
巨幕影城（武汉光谷广场资本大厦店）,42012001,武汉
CGV影城（金银潭激光IMAX店）,42018001,武汉
万达影城（汉街万达广场店）,42172701,武汉
万达影城（经开万达广场IMAX激光店）,42171401,武汉
万达影城（菱角湖万达广场IMAX店）,42170501,武汉
万达影城（汉阳汉商银座4DX店）,42171201,武汉
CGV影城(奥山IMAX店),42017301,武汉
万达影城（江汉路PRIME激光店）,42170101,武汉
华谊兄弟影院(黄陂店),42171001,武汉
金逸影城（销品茂IMAX激光店）,42170201,武汉
金逸影城武汉吴家山北冰洋店,42172601,武汉
金逸影城武汉杨汊湖店,42171801,武汉
金逸影城武汉南湖店,42171301,武汉
金逸影城武汉中南店,42172101,武汉
金逸影城武汉武胜路店,42172201,武汉
华夏世纪影城（蔡甸店）,42018601,武汉
